JVM,Mean,error,benchmark,Mode,GC,status
Geometric mean,-0.187503763,0,sunflow,CatNap,Gencon,geom
Geometric mean,-0.142149088,0,sunflow,CatNap,Balanced,geom
Geometric mean,-0.184147048,0,sunflow,CatNap,OptAvgPause,geom
Geometric mean,-0.060701334,0,sunflow,CatNap,Optthruput,geom
Geometric mean,-0.203442418,0,sunflow,CatsMeow,Gencon,geom
Geometric mean,-0.128210346,0,sunflow,CatsMeow,Balanced,geom
Geometric mean,-0.196555941,0,sunflow,CatsMeow,OptAvgPause,geom
Geometric mean,-0.150840278,0,sunflow,CatsMeow,Optthruput,geom
Geometric mean,-0.289677699,0,sunflow,Circling,Gencon,geom
Geometric mean,-0.183634885,0,sunflow,Circling,Balanced,geom
Geometric mean,-0.302681142,0,sunflow,Circling,OptAvgPause,geom
Geometric mean,-0.247017258,0,sunflow,Circling,Optthruput,geom
Geometric mean,-0.138175219,0,xalan,CatNap,Gencon,geom
Geometric mean,0.49902818,0,xalan,CatNap,Balanced,geom
Geometric mean,-0.090404521,0,xalan,CatNap,OptAvgPause,geom
Geometric mean,-0.211204092,0,xalan,CatNap,Optthruput,geom
Geometric mean,-0.210223961,0,xalan,CatsMeow,Gencon,geom
Geometric mean,0.527213225,0,xalan,CatsMeow,Balanced,geom
Geometric mean,-0.092296222,0,xalan,CatsMeow,OptAvgPause,geom
Geometric mean,-0.287691843,0,xalan,CatsMeow,Optthruput,geom
Geometric mean,-0.332799427,0,xalan,Circling,Gencon,geom
Geometric mean,0.562892628,0,xalan,Circling,Balanced,geom
Geometric mean,-0.148803647,0,xalan,Circling,OptAvgPause,geom
Geometric mean,-0.320479728,0,xalan,Circling,Optthruput,geom
